family,n_sources,seed,method,success,cleared,virtual_time_s,distance_m,measure_calls,switches,failed_clear,solver_failures,optical_fallbacks,opportunistic_measure_count,opportunistic_direction_count,opportunistic_no_signal_count,legs_selected,became_clear_ready_count,zero_detour_clear_count,clear_ready_count,coverage_move_m,opportunity_move_m,resolver_move_m,clear_move_m,coverage_measure_count,resolver_measure_count,clear_calls
uniform,10,123000,G25OR-S21,True,10,6328.009980181756,23695.04990090878,258,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
uniform,10,123000,G21A,True,10,6788.792376318763,26238.9618815938,251,236,0,0,0,10,10,0,7,1,0,1,13412.777959922822,4527.21243453367,7691.754488909417,607.216998227892,232,9,10
uniform,10,123001,G25OR-S21,True,10,6448.098266042538,24205.491330212684,261,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
uniform,10,123001,G21A,True,10,6765.377546348846,25836.887731744224,261,243,0,0,0,10,9,1,6,1,0,0,13572.718284811315,4336.21178008453,6847.323746593829,1080.6339202545496,239,12,10
uniform,10,123002,G25OR-S21,True,10,6255.038928616313,23305.194643081548,259,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
uniform,10,123002,G21A,True,10,6684.184631110419,25530.923155552093,257,243,0,0,0,10,10,0,7,2,0,0,12119.95398361321,5177.429397653353,7092.201762896544,1141.338011388987,239,8,10
uniform,10,123003,G25OR-S21,True,10,6607.136888955462,25285.684444777307,252,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
uniform,10,123003,G21A,True,10,6680.482901726979,25812.414508634905,247,233,0,0,0,10,10,0,7,2,0,0,13020.076652007256,4521.633676233081,6347.337072767827,1923.3671076267428,229,8,10
uniform,10,123004,G25OR-S21,True,10,6598.313827386968,25291.569136934846,250,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
uniform,10,123004,G21A,True,10,6644.136848632501,25695.68424316251,245,230,0,0,0,10,10,0,6,3,0,0,12983.07911078854,4527.212434533671,6868.6837048899,1316.7089929503986,228,7,10
uniform,10,123005,G25OR-S21,True,10,6207.8387813636655,23039.193906818335,260,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
uniform,10,123005,G21A,True,10,6481.892907180602,24549.464535903015,256,242,0,0,0,10,10,0,7,3,0,0,12447.423563390299,5214.814790550576,5749.185658465183,1138.0405234969567,239,7,10
uniform,10,123006,G25OR-S21,True,10,6169.268926830942,22776.344634154717,262,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
uniform,10,123006,G21A,True,10,7108.619843617769,27688.09921808883,256,241,0,0,0,10,10,0,6,1,0,0,13801.919070150285,4107.01099474556,9466.096843045776,313.0723101472104,237,9,10
uniform,10,123007,G25OR-S21,True,10,6202.132627430841,23195.663137154213,254,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
uniform,10,123007,G21A,True,10,6606.931924307275,25459.659621536375,247,230,0,0,0,10,10,0,4,2,0,0,14512.96087793114,3075.607460720202,5621.159695053651,2249.931587831381,229,8,10
uniform,10,123008,G25OR-S21,True,10,6266.156844402932,23075.78422201466,268,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
uniform,10,123008,G21A,True,10,6852.536728397998,26077.68364198999,267,252,0,0,0,10,10,0,6,1,0,0,13390.865668480374,4228.157558392979,7979.324672583571,479.33574253306324,248,9,10
uniform,10,123009,G25OR-S21,True,10,6376.6923414081775,24368.461707040893,244,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
uniform,10,123009,G21A,True,10,6559.987935266814,25479.939676334074,238,224,0,0,0,10,10,0,7,3,0,0,13188.860156409444,4214.764233498419,5376.830939466701,2699.484346959509,222,6,10
uniform,10,123010,G25OR-S21,True,10,6334.751915907921,23523.759579539612,265,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
uniform,10,123010,G21A,True,10,6889.517565101811,26567.587825509057,257,241,0,0,0,10,10,0,6,2,0,0,14871.672892396287,3144.279520398264,6370.892519752611,2180.7428929618945,240,7,10
uniform,10,123011,G25OR-S21,True,10,6239.199263735445,22805.996318677222,273,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
uniform,10,123011,G21A,True,10,6742.288585453551,25586.442927267748,265,250,0,0,0,10,10,0,6,2,0,0,13601.985499277322,4109.864638470943,6602.031757813507,1272.5610317059761,247,8,10
uniform,10,123012,G25OR-S21,True,10,6482.122170349114,24140.610851745572,269,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
uniform,10,123012,G21A,True,10,6698.857972909019,25524.289864545084,260,244,0,0,0,10,10,0,6,2,0,0,14598.918559452237,3855.0550098979174,5879.861802833431,1190.4544923614985,241,9,10
uniform,10,123013,G25OR-S21,True,10,6505.986417273021,24284.9320863651,268,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
uniform,10,123013,G21A,True,10,7169.448175434394,27652.240877171964,267,254,0,0,0,10,10,0,8,2,0,0,12399.977093197303,5508.952971698542,7832.212728141818,1911.0980841343007,249,8,10
uniform,10,123014,G25OR-S21,True,10,6810.4521635864485,25922.260817932252,264,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
uniform,10,123014,G21A,True,10,6837.251596254259,26241.257981271294,259,244,0,0,0,10,10,0,6,1,0,0,13840.119201040112,4068.8108638557333,6599.552165262638,1732.7757511128111,240,9,10
uniform,11,123015,G25OR-S21,True,11,6610.033745984472,25745.168729922363,236,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123015,G21A,True,11,6557.776625506331,25653.883127531648,231,217,0,0,0,11,11,0,8,3,0,0,12528.671491367548,4965.616889280142,5970.5539719136505,2189.040774970308,212,8,11
uniform,11,123016,G25OR-S21,True,11,6485.865363854822,25029.326819274116,239,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123016,G21A,True,11,6927.373193248235,27411.865966241174,234,220,0,0,0,11,11,0,7,1,0,0,12912.774936635107,4996.155128260739,7979.536557585292,1523.3993437600366,213,10,11
uniform,11,123017,G25OR-S21,True,11,6716.386648241243,26091.933241206214,242,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123017,G21A,True,11,6652.9003731282255,26044.501865641123,234,219,0,0,0,11,11,0,6,4,0,0,13737.268450898784,3884.356380384526,5241.80638148604,3181.070652871773,216,7,11
uniform,11,123018,G25OR-S21,True,11,6388.483471908381,24202.417359541894,250,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123018,G21A,True,11,6946.930764268742,27219.653821343712,244,228,0,0,0,11,10,1,7,0,0,0,14406.574993409598,3502.355071486246,9049.585873651944,261.13788279592336,220,13,11
uniform,11,123019,G25OR-S21,True,11,6241.417133348121,24127.0856667406,229,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123019,G21A,True,11,6871.371430663586,27291.857153317927,229,213,0,0,0,11,11,0,5,1,0,0,15291.730278982724,2972.9168830073577,8319.769830374473,707.4401609533725,208,10,11
uniform,11,123020,G25OR-S21,True,11,6733.949909811151,26229.749549055752,240,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123020,G21A,True,11,6975.493929414152,27717.469647070768,232,217,0,0,0,11,11,0,6,2,0,0,13959.649938515744,3801.409947626936,8505.032222536101,1451.3775383919865,212,9,11
